timestamp            | event                | lane   | user                     | bot   | server                  | actual     | expected   | drift_ns     | details
1778254414.034110200 | CONNECT              |         |                          |       |                          |            |            |              | ?? Connecting to Wikipedia SSE stream...                                
1778254415.559275500 | INCOMING             | HUMAN   | Anne-Sophie Ofrim        | false | www.wikidata.org         |            |            |              | ?? INCOMING HUMAN event id=bea54597-ea78-4e35-bd3f-f126f8e2b625 user=Som
1778254415.559839500 | ENQUEUE              | HUMAN   | Anne-Sophie Ofrim        | false | www.wikidata.org         |            |            |              | ➕ ENQUEUE HUMAN event id=bea54597-ea78-4e35-bd3f-f126f8e2b625 user=Some(
1778254415.560113000 | DEQUEUE              | HUMAN   | Anne-Sophie Ofrim        | false | www.wikidata.org         |            |            |              | 📤 DEQUEUE HUMAN event id=bea54597-ea78-4e35-bd3f-f126f8e2b625 user=Some(
1778254415.560326400 | INCOMING             | HUMAN   | ~2026-28016-13           | false | www.wikidata.org         |            |            |              | ?? INCOMING HUMAN event id=dddffbb4-e559-4ff7-b618-411dc759e965 user=Som
1778254415.560514900 | TIMING               |         | Anne-Sophie Ofrim        | false | www.wikidata.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.560698700 | ENQUEUE              | HUMAN   | ~2026-28016-13           | false | www.wikidata.org         |            |            |              | ➕ ENQUEUE HUMAN event id=dddffbb4-e559-4ff7-b618-411dc759e965 user=Some(
1778254415.560958900 | DEADLINE_MET         |         | Anne-Sophie Ofrim        | false | www.wikidata.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.561588400 | DEQUEUE              | HUMAN   | ~2026-28016-13           | false | www.wikidata.org         |            |            |              | 📤 DEQUEUE HUMAN event id=dddffbb4-e559-4ff7-b618-411dc759e965 user=Some(
1778254415.562091500 | TIMING               |         | ~2026-28016-13           | false | www.wikidata.org         | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.562582800 | DEADLINE_MET         |         | ~2026-28016-13           | false | www.wikidata.org         | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.739287500 | INCOMING             | HUMAN   | Manha28                  | false | de.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=f892281c-7095-4399-974d-e61212d9c6b8 user=Som
1778254415.740051500 | ENQUEUE              | HUMAN   | Manha28                  | false | de.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=f892281c-7095-4399-974d-e61212d9c6b8 user=Some(
1778254415.740497400 | DEQUEUE              | HUMAN   | Manha28                  | false | de.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=f892281c-7095-4399-974d-e61212d9c6b8 user=Some(
1778254415.740756400 | INCOMING             | HUMAN   | Ephraim33                | false | de.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=bcce6455-e0f0-4aa6-9fdb-61b4dcc342d2 user=Som
1778254415.741070000 | TIMING               |         | Manha28                  | false | de.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.741352000 | ENQUEUE              | HUMAN   | Ephraim33                | false | de.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=bcce6455-e0f0-4aa6-9fdb-61b4dcc342d2 user=Some(
1778254415.741779700 | DEADLINE_MET         |         | Manha28                  | false | de.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.742269000 | DEQUEUE              | HUMAN   | Ephraim33                | false | de.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=bcce6455-e0f0-4aa6-9fdb-61b4dcc342d2 user=Some(
1778254415.742554600 | TIMING               |         | Ephraim33                | false | de.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.742968000 | DEADLINE_MET         |         | Ephraim33                | false | de.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.743233800 | INCOMING             | HUMAN   | Zarateman                | false | commons.wikimedia.org    |            |            |              | ?? INCOMING HUMAN event id=823ddeee-403b-4e54-a5ee-3de804104910 user=Som
1778254415.743724200 | ENQUEUE              | HUMAN   | Zarateman                | false | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE HUMAN event id=823ddeee-403b-4e54-a5ee-3de804104910 user=Some(
1778254415.745293900 | INCOMING             | HUMAN   | Fabrice Dury             | false | fr.wikisource.org        |            |            |              | ?? INCOMING HUMAN event id=6477107e-f6e4-44a3-93d9-c10b016c40d4 user=Som
1778254415.745902300 | DEQUEUE              | HUMAN   | Zarateman                | false | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE HUMAN event id=823ddeee-403b-4e54-a5ee-3de804104910 user=Some(
1778254415.746440500 | TIMING               |         | Zarateman                | false | commons.wikimedia.org    | 600ns      | 2ms        | -1999400     |                                                                         
1778254415.746970900 | ENQUEUE              | HUMAN   | Fabrice Dury             | false | fr.wikisource.org        |            |            |              | ➕ ENQUEUE HUMAN event id=6477107e-f6e4-44a3-93d9-c10b016c40d4 user=Some(
1778254415.747370500 | DEADLINE_MET         |         | Zarateman                | false | commons.wikimedia.org    | 600ns      | 2ms        | -1999400     |                                                                         
1778254415.747699300 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=4afe5810-29c8-4fbc-ad6e-c4df93966a7a user=Some(
1778254415.748280000 | DEQUEUE              | HUMAN   | Fabrice Dury             | false | fr.wikisource.org        |            |            |              | 📤 DEQUEUE HUMAN event id=6477107e-f6e4-44a3-93d9-c10b016c40d4 user=Some(
1778254415.748756700 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=4afe5810-29c8-4fbc-ad6e-c4df93966a7a user=Some("S
1778254415.749070700 | TIMING               |         | Fabrice Dury             | false | fr.wikisource.org        | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.749407000 | INCOMING             | BOT     | Zabe                     | true  | en.wikinews.org          |            |            |              | ?? INCOMING BOT event id=dccd282c-24ab-4894-bcbb-90a8c57c9c6e user=Some(
1778254415.750014100 | DEADLINE_MET         |         | Fabrice Dury             | false | fr.wikisource.org        | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.750470900 | ENQUEUE              | BOT     | Zabe                     | true  | en.wikinews.org          |            |            |              | ➕ ENQUEUE BOT event id=dccd282c-24ab-4894-bcbb-90a8c57c9c6e user=Some("Z
1778254415.750982700 | DEQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | 📤 DEQUEUE BOT event id=4afe5810-29c8-4fbc-ad6e-c4df93966a7a user=Some("S
1778254415.751538500 | INCOMING             | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=56eb568b-0f01-40e8-9950-9ec42c9c02a3 user=Som
1778254415.752007300 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.752542100 | ENQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=56eb568b-0f01-40e8-9950-9ec42c9c02a3 user=Some(
1778254415.752999100 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.753907800 | INCOMING             | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=797f39c8-3593-4eba-9e84-e79ba48f4938 user=Som
1778254415.754722300 | DEQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=56eb568b-0f01-40e8-9950-9ec42c9c02a3 user=Some(
1778254415.755307600 | ENQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=797f39c8-3593-4eba-9e84-e79ba48f4938 user=Some(
1778254415.755868700 | TIMING               |         | Anferpor15               | false | es.wikipedia.org         | 400ns      | 2ms        | -1999600     |                                                                         
1778254415.756698400 | DEADLINE_MET         |         | Anferpor15               | false | es.wikipedia.org         | 400ns      | 2ms        | -1999600     |                                                                         
1778254415.757696000 | DEQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=797f39c8-3593-4eba-9e84-e79ba48f4938 user=Some(
1778254415.758590400 | TIMING               |         | Anferpor15               | false | es.wikipedia.org         | 400ns      | 2ms        | -1999600     |                                                                         
1778254415.759237700 | DEADLINE_MET         |         | Anferpor15               | false | es.wikipedia.org         | 400ns      | 2ms        | -1999600     |                                                                         
1778254415.759920300 | DEQUEUE              | BOT     | Zabe                     | true  | en.wikinews.org          |            |            |              | 📤 DEQUEUE BOT event id=dccd282c-24ab-4894-bcbb-90a8c57c9c6e user=Some("Z
1778254415.760447000 | TIMING               |         | Zabe                     | true  | en.wikinews.org          | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.760859400 | DEADLINE_MET         |         | Zabe                     | true  | en.wikinews.org          | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.928708000 | INCOMING             | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=f18c455f-ff92-4b0f-9341-1d04ae52f87f user=Som
1778254415.929423800 | ENQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=f18c455f-ff92-4b0f-9341-1d04ae52f87f user=Some(
1778254415.929812700 | DEQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=f18c455f-ff92-4b0f-9341-1d04ae52f87f user=Some(
1778254415.930347600 | INCOMING             | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=8d209b07-18fc-4431-b1a1-efbd3fb30729 user=Som
1778254415.930770800 | TIMING               |         | Anferpor15               | false | es.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.931184800 | ENQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=8d209b07-18fc-4431-b1a1-efbd3fb30729 user=Some(
1778254415.931934900 | DEADLINE_MET         |         | Anferpor15               | false | es.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.932428600 | DEQUEUE              | HUMAN   | Anferpor15               | false | es.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=8d209b07-18fc-4431-b1a1-efbd3fb30729 user=Some(
1778254415.932639400 | INCOMING             | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ?? INCOMING BOT event id=987fea51-a45d-4582-b97f-520ff9d97ed1 user=Some(
1778254415.932873700 | TIMING               |         | Anferpor15               | false | es.wikipedia.org         | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.933108700 | ENQUEUE              | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE BOT event id=987fea51-a45d-4582-b97f-520ff9d97ed1 user=Some("S
1778254415.933320600 | DEADLINE_MET         |         | Anferpor15               | false | es.wikipedia.org         | 200ns      | 2ms        | -1999800     |                                                                         
1778254415.933530500 | INCOMING             | HUMAN   | Favete linguistis        | false | commons.wikimedia.org    |            |            |              | ?? INCOMING HUMAN event id=f83113bc-4dff-4625-ad7c-cd1d42d37325 user=Som
1778254415.934371800 | DEQUEUE              | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE BOT event id=987fea51-a45d-4582-b97f-520ff9d97ed1 user=Some("S
1778254415.935565100 | ENQUEUE              | HUMAN   | Favete linguistis        | false | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE HUMAN event id=f83113bc-4dff-4625-ad7c-cd1d42d37325 user=Some(
1778254415.936906700 | TIMING               |         | SchlurcherBot            | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254415.937377500 | INCOMING             | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ?? INCOMING BOT event id=be22e17d-f1c1-4568-85c2-0cc36a53b298 user=Some(
